"url","parent","ind"
"/al/opelika/36031/domestic-violence-intervention-center","https://www.domesticshelters.org/search#?q=auburn&latitude=32.5933574&longitude=-85.4951663&radius=50","0"
"/ga/columbus/31914/columbus-alliance-for-battered-women-inc-dba-hope-harbour","https://www.domesticshelters.org/search#?q=auburn&latitude=32.5933574&longitude=-85.4951663&radius=50","0"
"/al/phenix-city/36867/crisis-center-of-russell-county","https://www.domesticshelters.org/search#?q=auburn&latitude=32.5933574&longitude=-85.4951663&radius=50","0"
"/ga/columbus/31914/hope-harbour","https://www.domesticshelters.org/search#?q=auburn&latitude=32.5933574&longitude=-85.4951663&radius=50","0"
"/ga/lagrange/30241/harmony-house","https://www.domesticshelters.org/search#?q=auburn&latitude=32.5933574&longitude=-85.4951663&radius=50","0"
"/al/montgomery/36103-5160/family-sunshine-center","https://www.domesticshelters.org/search#?q=auburn&latitude=32.5933574&longitude=-85.4951663&radius=50","0"
"/al/montgomery/36116/legal-services-alabama","https://www.domesticshelters.org/search#?q=auburn&latitude=32.5933574&longitude=-85.4951663&radius=50","0"
"/al/montgomery/36104/women-of-refined-gold-inc","https://www.domesticshelters.org/search#?q=auburn&latitude=32.5933574&longitude=-85.4951663&radius=50","0"
"/al/montgomery/36104/one-place-family-justice-center","https://www.domesticshelters.org/search#?q=auburn&latitude=32.5933574&longitude=-85.4951663&radius=50","0"
"/al/birmingham/35203/ywca-domestic-violence-services","https://www.domesticshelters.org/search#?q=birmingham&latitude=33.5206608&longitude=-86.80249&radius=50","0"
"/al/birmingham/35203/legal-services-alabama","https://www.domesticshelters.org/search#?q=birmingham&latitude=33.5206608&longitude=-86.80249&radius=50","0"
"/al/birmingham/35203/first-light","https://www.domesticshelters.org/search#?q=birmingham&latitude=33.5206608&longitude=-86.80249&radius=50","0"
"/al/birmingham/35206/the-lovelady-center","https://www.domesticshelters.org/search#?q=birmingham&latitude=33.5206608&longitude=-86.80249&radius=50","0"
"/al/pelham/35124/the-safehouse-of-shelby-county","https://www.domesticshelters.org/search#?q=birmingham&latitude=33.5206608&longitude=-86.80249&radius=50","0"
"/al/jasper/35502/daybreak-family-resource-center-of-nw-alabama","https://www.domesticshelters.org/search#?q=birmingham&latitude=33.5206608&longitude=-86.80249&radius=50","0"
"/al/cullman/35056/harbor-haus-crisis-services","https://www.domesticshelters.org/search#?q=birmingham&latitude=33.5206608&longitude=-86.80249&radius=50","0"
"/al/tuscaloosa/35403/turning-point-domestic-violence-sexual-assault-services","https://www.domesticshelters.org/search#?q=birmingham&latitude=33.5206608&longitude=-86.80249&radius=50","0"
"/al/tuscaloosa/35401/legal-services-alabama","https://www.domesticshelters.org/search#?q=birmingham&latitude=33.5206608&longitude=-86.80249&radius=50","0"
"/al/dothan/36302/the-house-of-ruth-inc","https://www.domesticshelters.org/search#?q=dothan&latitude=31.2232313&longitude=-85.3904888&radius=50","1"
"/al/dothan/36301/legal-services-alabama","https://www.domesticshelters.org/search#?q=dothan&latitude=31.2232313&longitude=-85.3904888&radius=50","1"
"/al/dothan/36301/dothan-rescue-mission","https://www.domesticshelters.org/search#?q=dothan&latitude=31.2232313&longitude=-85.3904888&radius=50","1"
"/al/florence/35631/safeplace-inc","https://www.domesticshelters.org/search#?q=florence / muscle shoals&latitude=34.8148561&longitude=-87.6426644&radius=50","2"
"/tn/lawrenceburg/38464/the-shelter-inc","https://www.domesticshelters.org/search#?q=florence / muscle shoals&latitude=34.8148561&longitude=-87.6426644&radius=50","2"
"/al/anniston/36202/2nd-chance-inc","https://www.domesticshelters.org/search#?q=gadsden-anniston&latitude=33.6229395&longitude=-85.8016728&radius=50","3"
"/al/oxford/36203/legal-services-alabama","https://www.domesticshelters.org/search#?q=gadsden-anniston&latitude=33.6229395&longitude=-85.8016728&radius=50","3"
"/al/anniston/36201/the-salvation-army","https://www.domesticshelters.org/search#?q=gadsden-anniston&latitude=33.6229395&longitude=-85.8016728&radius=50","3"
"/ga/cedartown/30125/polk-county-women-s-shelter","https://www.domesticshelters.org/search#?q=gadsden-anniston&latitude=33.6229395&longitude=-85.8016728&radius=50","3"
"/ga/carrollton/30112/carroll-county-emergency-shelter","https://www.domesticshelters.org/search#?q=gadsden-anniston&latitude=33.6229395&longitude=-85.8016728&radius=50","3"
"/al/huntsville/35807/ashakiran","https://www.domesticshelters.org/search#?q=huntsville / decatur&latitude=34.7132151&longitude=-86.5775108&radius=50","4"
